10.014 pRSV-T	CRL-11515		atcc	CellLine
143B	CRL-8303		atcc	CellLine
143B PML BK TK	CRL-8304		atcc	CellLine
166-ME SK	CRL-1533		atcc	CellLine
182-PF SK	CRL-1532		atcc	CellLine
184A1	CRL-8798		atcc	CellLine
184B5	CRL-8799		atcc	CellLine
CRL-8119	CRL-8119		atcc	CellLine
1G2	CRL-13005		atcc	CellLine
2.040  pRSV-T	CRL-11516		atcc	CellLine
20B8	CRL-12582		atcc	CellLine
20H11	CRL-9300		atcc	CellLine
22Rv1	CRL-2505		atcc	CellLine
293	CRL-1573		atcc	CellLine
293 c18	CRL-10852		atcc	CellLine
293/CHE-Fc	CRL-2368		atcc	CellLine
293T	CRL-3216		atcc	CellLine
293T/17	CRL-11268		atcc	CellLine
2A	CRL-12013		atcc	CellLine
CRL-3212	CRL-3212		atcc	CellLine
2B8	CRL-12569		atcc	CellLine
31E9	HB-11052		atcc	CellLine
3A(tPA-30-1)	CRL-1583		atcc	CellLine
CRL-1584	CRL-1584		atcc	CellLine
3T3 MEFs WT	CRL-2752		atcc	CellLine
5637	HTB-9		atcc	CellLine
769-P	CRL-1933		atcc	CellLine
786-O	CRL-1932		atcc	CellLine
8E5	CRL-8993		atcc	CellLine
8E7	CRL-8795		atcc	CellLine
90.74	CRL-11654		atcc	CellLine
90196B	CRL-9853		atcc	CellLine
93T449	CRL-3043		atcc	CellLine
94T778	CRL-3044		atcc	CellLine
9D10	CRL-8752		atcc	CellLine
A-172	CRL-1620		atcc	CellLine
A-204	HTB-82		atcc	CellLine
A-253	HTB-41		atcc	CellLine
A-375	CRL-1619		atcc	CellLine
A-427	HTB-53		atcc	CellLine
A-431	CRL-1555		atcc	CellLine
A-498	HTB-44		atcc	CellLine
CRL-1598	CRL-1598		atcc	CellLine
A-704	HTB-45		atcc	CellLine
A101D	CRL-7898		atcc	CellLine
A2058	CRL-11147		atcc	CellLine
A3	CRL-2570		atcc	CellLine
A375-MA1	CRL-3222		atcc	CellLine
A375-MA2	CRL-3223		atcc	CellLine
A375-P	CRL-3224		atcc	CellLine
A375.S2	CRL-1872		atcc	CellLine
A388	CRL-7905		atcc	CellLine
A431NS	CRL-2592		atcc	CellLine
A549	CCL-185		atcc	CellLine
A6	CRL-8192		atcc	CellLine
A7	CRL-2500		atcc	CellLine
ACHN	CRL-1611		atcc	CellLine
Ad Hot	CRL-1227		atcc	CellLine
AGS	CRL-1739		atcc	CellLine
AHH-1	CRL-8146		atcc	CellLine
Al Ke	CRL-1325		atcc	CellLine
Am Coo	CRL-1286		atcc	CellLine
Am Ric	CRL-1129		atcc	CellLine
Amdur II	CCL-124		atcc	CellLine
AML-193	CRL-9589		atcc	CellLine
An Zan	CRL-1266		atcc	CellLine
AN3 CA	HTB-111		atcc	CellLine
ANJOU 65	CRL-11269		atcc	CellLine
Ar Ke-2	CRL-1324		atcc	CellLine
ARH-77	CRL-1621		atcc	CellLine
ARPE-19	CRL-2302		atcc	CellLine
ARPE-19/HPV-16	CRL-2502		atcc	CellLine
AsPC-1	CRL-1682		atcc	CellLine
ATRFLOX	CRL-2780		atcc	CellLine
AU565	CRL-2351		atcc	CellLine
AV3	CCL-21		atcc	CellLine
B-3	CRL-11421		atcc	CellLine
Ba Pot	CRL-1280		atcc	CellLine
BBM	CRL-9482		atcc	CellLine
BC-1	CRL-2230		atcc	CellLine
BC-2	CRL-2231		atcc	CellLine
BC-3	CRL-2277		atcc	CellLine
BCL2 (AAA) Jurkat	CRL-2902		atcc	CellLine
BCL2 (S70A) Jurkat	CRL-2900		atcc	CellLine
BCL2 (S87A) Jurkat	CRL-2901		atcc	CellLine
BCL2 Jurkat	CRL-2899		atcc	CellLine
BCP-1	CRL-2294		atcc	CellLine
BDCM	CRL-2740		atcc	CellLine
Be Ar	CRL-1167		atcc	CellLine
BE(2)-C	CRL-2268		atcc	CellLine
BE(2)-M17	CRL-2267		atcc	CellLine
BEAS-2B	CRL-9609		atcc	CellLine
BeWo	CCL-98		atcc	CellLine
Bi Fin	CRL-1219		atcc	CellLine
Bing	CRL-11554		atcc	CellLine
BJ	CRL-2522		atcc	CellLine
Bo Gin	CRL-1180		atcc	CellLine
BT-20	HTB-19		atcc	CellLine
BT-474	HTB-20		atcc	CellLine
BT-474 Clone 5	CRL-3247		atcc	CellLine
BT-483	HTB-121		atcc	CellLine
BT-549	HTB-122		atcc	CellLine
BUD-8	CRL-1554		atcc	CellLine
BxPC-3	CRL-1687		atcc	CellLine
BZR	CRL-9483		atcc	CellLine
C 211	CCL-123		atcc	CellLine
C-33 A	HTB-31		atcc	CellLine
C-4 I	CRL-1594		atcc	CellLine
C-4 II	CRL-1595		atcc	CellLine
C13589	CRL-2704		atcc	CellLine
C1R-B7	CRL-2371		atcc	CellLine
C1R-neo	CRL-2369		atcc	CellLine
C1R-sB7	CRL-2370		atcc	CellLine
C2BBe1	CRL-2102		atcc	CellLine
C32	CRL-1585		atcc	CellLine
C32TG	CRL-1579		atcc	CellLine
C3A	CRL-10741		atcc	CellLine
C5/MJ	CRL-8293		atcc	CellLine
C5B7	CRL-8753		atcc	CellLine
Ca Ski	CRL-1550		atcc	CellLine
CA-HPV-10	CRL-2220		atcc	CellLine
CA46	CRL-1648		atcc	CellLine
Caco-2	HTB-37		atcc	CellLine
Caki-1	HTB-46		atcc	CellLine
Caki-2	HTB-47		atcc	CellLine
CAL 27	CRL-2095		atcc	CellLine
Calu-1	HTB-54		atcc	CellLine
Calu-3	HTB-55		atcc	CellLine
Calu-6	HTB-56		atcc	CellLine
CAMA-1	HTB-21		atcc	CellLine
Caov-3	HTB-75		atcc	CellLine
Caov-4	HTB-76		atcc	CellLine
Capan-1	HTB-79		atcc	CellLine
Capan-2	HTB-80		atcc	CellLine
CAR47	CRL-3235		atcc	CellLine
Cates-1B	HTB-104		atcc	CellLine
CCD 1102 KERTr	CRL-2310		atcc	CellLine
CCD 1103 KIDTr	CRL-2304		atcc	CellLine
CCD 1105 KIDTr	CRL-2305		atcc	CellLine
CCD 1106 KERTr	CRL-2309		atcc	CellLine
CCD 1108Sk	CRL-2352		atcc	CellLine
CCD 18Lu	CCL-205		atcc	CellLine
CCD 841 CoN	CRL-1790		atcc	CellLine
