14-3-3 protein gamma proteolytic cleavage product	PR:000021868	14-3-3 protein gamma proteolytic cleavage product
2K	PR:000036831	2K
2K	PR:000036831	2K fragment
2KNS4B	PR:000036842	2KNS4B
30S ribosomal protein S1 isoform 1 unmodified form	PR:000024987	30S ribosomal protein S1 isoform 1 unmodified form
40S ribosomal protein S27a	PR:000035718	40S ribosomal protein S27a
40S ribosomal protein S30	PR:000050156	40S ribosomal protein S30
50S ribosomal protein L9 isoform 1 unmodified form	PR:000024977	50S ribosomal protein L9 isoform 1 unmodified form
5'-nucleotidase proteolytic cleavage product	PR:000018524	5'-nucleotidase proteolytic cleavage product
60S ribosomal protein L40	PR:000035724	60S ribosomal protein L40
amyloid beta peptide	PR:000036193	Abeta
histo-blood group ABO system transferase proteolytic cleavage product	PR:000018849	ABO/ClvPrd
aggrecan core protein proteolytic cleavage product	PR:000018864	ACAN/ClvPrd
angiotensin-converting enzyme 2 proteolytic cleavage product	PR:000018866	ACE2/ClvPrd
angiotensin-converting enzyme proteolytic cleavage product	PR:000018395	ACE/ClvPrd
acid ceramidase proteolytic cleavage product	PR:000019059	acid ceramidase proteolytic cleavage product
acid shock protein proteolytic cleavage product	PR:000024304	acid shock protein proteolytic cleavage product
acrosin proteolytic cleavage product	PR:000018880	ACR/ClvPrd
acrosin proteolytic cleavage product	PR:000018880	acrosin proteolytic cleavage product
actin, aortic smooth muscle proteolytic cleavage product	PR:000018883	ACTA2/ClvPrd
actin, cytoplasmic 1 proteolytic cleavage product	PR:000018885	ACTB/ClvPrd
actin, cytoplasmic 2 proteolytic cleavage product	PR:000018887	ACTG1/ClvPrd
actin, cytoplasmic 1 proteolytic cleavage product	PR:000018885	actin, cytoplasmic 1 proteolytic cleavage product
actin, cytoplasmic 2 proteolytic cleavage product	PR:000018887	actin, cytoplasmic 2 proteolytic cleavage product
acyloxyacyl hydrolase proteolytic cleavage product	PR:000018999	acyloxyacyl hydrolase proteolytic cleavage product
bifunctional transcriptional activator/DNA repair enzyme Ada proteolytic cleavage product	PR:000024268	ada/ClvPrd
ADAM 17 endopeptidase proteolytic cleavage product	PR:000018362	ADAM17/ClvPrd
ADAM 17 endopeptidase proteolytic cleavage product	PR:000018362	ADAM 17 endopeptidase proteolytic cleavage product
disintegrin and metalloproteinase domain-containing protein 2 proteolytic cleavage product	PR:000018892	ADAM2/ClvPrd
a disintegrin and metalloproteinase with thrombospondin motifs 13 proteolytic cleavage product	PR:000018896	ADAMTS13/ClvPrd
a disintegrin and metalloproteinase with thrombospondin motifs 18 proteolytic cleavage product	PR:000037806	ADAMTS18/ClvPrd
a disintegrin and metalloproteinase with thrombospondin motifs 1 proteolytic cleavage product	PR:000018895	ADAMTS1/ClvPrd
a disintegrin and metalloproteinase with thrombospondin motifs 4 proteolytic cleavage product	PR:000018897	ADAMTS4/ClvPrd
a disintegrin and metalloproteinase with thrombospondin motifs 7 proteolytic cleavage product	PR:000018898	ADAMTS7/ClvPrd
a disintegrin and metalloproteinase with thrombospondin motifs 9 proteolytic cleavage product	PR:000018899	ADAMTS9/ClvPrd
pituitary adenylate cyclase-activating polypeptide proteolytic cleavage product	PR:000018902	ADCYAP1/ClvPrd
adenylosuccinate lyase isoform 1 unmodified form	PR:000024881	adenylosuccinate lyase isoform 1 unmodified form
adhesion G protein-coupled receptor L1 proteolytic cleavage product	PR:000021934	ADGRL1/ClvPrd
adhesion G protein-coupled receptor L1 isoform 4 cleaved 1	PR:000001274	ADGRL1/iso:4/Clv:1
adhesion G protein-coupled receptor L1 isoform 4 cleaved 2	PR:000001275	ADGRL1/iso:4/Clv:2
pro-adrenomedullin proteolytic cleavage product	PR:000018914	ADM/ClvPrd
adenylosuccinate lyase isoform 1 unmodified form	PR:000024881	ADSL/iso:1/UnMod
N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase proteolytic cleavage product	PR:000018924	AGA/ClvPrd
advanced glycosylation end product-specific receptor proteolytic cleavage product	PR:000045349	AGER/ClvPrd
aggrecan core protein proteolytic cleavage product	PR:000018864	aggrecan core protein proteolytic cleavage product
angiotensinogen proteolytic cleavage product	PR:000018932	AGT/ClvPrd
aryl hydrocarbon receptor proteolytic cleavage product	PR:000018934	AHR/ClvPrd
alpha-2-HS-glycoprotein proteolytic cleavage product	PR:000018937	AHSG/ClvPrd
gamma-secretase C-terminal fragment 50	PR:000025589	AICD-50
gamma-secretase C-terminal fragment 57	PR:000025585	AICD-57
gamma-secretase C-terminal fragment 59	PR:000025586	AICD-59
gamma-secretase C-terminal fragment 50	PR:000025589	AID(50)
gamma-secretase C-terminal fragment 57	PR:000025585	AID(57)
gamma-secretase C-terminal fragment 59	PR:000025586	AID(59)
albumin proteolytic cleavage product	PR:000018950	ALB/ClvPrd
albumin proteolytic cleavage product	PR:000018950	albumin proteolytic cleavage product
alpha-1-antitrypsin proteolytic cleavage product	PR:000021416	alpha-1-antitrypsin proteolytic cleavage product
alpha-2-antiplasmin proteolytic cleavage product	PR:000021440	alpha-2-antiplasmin proteolytic cleavage product
alpha-latrotoxin proteolytic cleavage product	PR:000025413	alpha-latrotoxin proteolytic cleavage product
alpha-latrotoxin proteolytic cleavage product	PR:000025413	alpha-LTX/ClvPrd
alpha-S1-casein derived peptide	PR:000036522	alpha-S1-casein derived peptide
alpha-S1-casein proteolytic cleavage product	PR:000019524	alpha-S1-casein proteolytic cleavage product
alpha-S2-casein derived peptide	PR:000036523	alpha-S2-casein derived peptide
alkaline phosphatase, placental type proteolytic cleavage product	PR:000018969	ALPP/ClvPrd
protein AMBP proteolytic cleavage product	PR:000018973	AMBP/ClvPrd
S-adenosylmethionine decarboxylase proenzyme 2 proteolytic cleavage product	PR:000019101	Amd2/ClvPrd
Muellerian-inhibiting factor proteolytic cleavage product	PR:000001276	AMH/ClvPrd
Muellerian-inhibiting factor isoform 1 cleaved 1	PR:000001277	AMH/iso:1/Clv:1
Muellerian-inhibiting factor isoform 1 cleaved and glycosylated 2	PR:000000534	AMH/iso:1/ClvGlyco:2
amphiregulin proteolytic cleavage product	PR:000019041	amphiregulin proteolytic cleavage product
amyloid beta peptide	PR:000036193	amyloid beta peptide
gamma-secretase C-terminal fragment 50	PR:000025589	Amyloid intracellular domain 50
gamma-secretase C-terminal fragment 57	PR:000025585	Amyloid intracellular domain 57
gamma-secretase C-terminal fragment 59	PR:000025586	Amyloid intracellular domain 59
capsid protein C	PR:000036819	anchC
capsid protein C	PR:000036819	anchored C
angiotensin 1-7	PR:000036013	ang 1-7
angiotensin 1-9	PR:000036012	ang 1-9
angiotensin I	PR:000036008	ang I
angiotensin II	PR:000036009	ang II
angiotensin III	PR:000036010	ang III
angiotensin I	PR:000036008	angiotensin 1-10
angiotensin 1-7	PR:000036013	angiotensin 1-7
angiotensin II	PR:000036009	angiotensin 1-8
angiotensin 1-9	PR:000036012	angiotensin 1-9
angiotensin II	PR:000036009	angiotensin 2
angiotensin III	PR:000036010	angiotensin 2-8
angiotensin III	PR:000036010	angiotensin 3
angiotensin IV	PR:000036011	angiotensin 3-8
angiotensin IV	PR:000036011	angiotensin 4
angiotensin I	PR:000036008	angiotensin I
angiotensin II	PR:000036009	angiotensin II
angiotensin III	PR:000036010	angiotensin III
angiotensin IV	PR:000036011	angiotensin IV
angiotensinogen proteolytic cleavage product	PR:000018932	angiotensinogen proteolytic cleavage product
angiotensin IV	PR:000036011	ang IV
antigen 43 proteolytic cleavage product	PR:000024433	antigen 43 proteolytic cleavage product
acyloxyacyl hydrolase proteolytic cleavage product	PR:000018999	AOAH/ClvPrd
serum amyloid P-component proteolytic cleavage product	PR:000019005	APCS/ClvPrd
apolipoprotein A-I proteolytic cleavage product	PR:000019010	APOA1/ClvPrd
apolipoprotein A-II proteolytic cleavage product	PR:000019013	APOA2/ClvPrd
apolipoprotein B-100 proteolytic cleavage product	PR:000019018	APOB/ClvPrd
apolipoprotein F proteolytic cleavage product	PR:000019029	APOF/ClvPrd
apolipoprotein A-II proteolytic cleavage product	PR:000019013	apolipoprotein A-II proteolytic cleavage product
apolipoprotein A-I proteolytic cleavage product	PR:000019010	apolipoprotein A-I proteolytic cleavage product
apolipoprotein B-100 proteolytic cleavage product	PR:000019018	apolipoprotein B-100 proteolytic cleavage product
apolipoprotein F proteolytic cleavage product	PR:000019029	apolipoprotein F proteolytic cleavage product
C80	PR:000025582	APP-C80
C83	PR:000025581	APP-C83
C99	PR:000025580	APP-C99
amyloid-beta precursor protein proteolytic cleavage product	PR:000019036	APP/ClvPrd
gamma-secretase C-terminal fragment 50	PR:000025589	APP-CTF(50)
gamma-secretase C-terminal fragment 57	PR:000025585	APP-CTF(57)
gamma-secretase C-terminal fragment 59	PR:000025586	APP-CTF(59)
